sample_id,sample_type,collected_at,volume_ml
10131,1,2023-06-05 21:53:00,159
10132,1,2023-06-05 22:03:00,177
10133,1,2023-06-05 22:13:00,193
10134,2,2023-06-05 22:21:00,172
10135,2,2023-06-05 22:31:00,193
10136,3,2023-06-05 22:42:00,185
10137,2,2023-06-05 22:51:00,191
10138,2,2023-06-05 23:03:00,158
10139,3,2023-06-05 23:11:00,164
10140,3,2023-06-05 23:20:00,171
10141,2,2023-06-05 23:30:00,184
10142,2,2023-06-05 23:40:00,200
10143,2,2023-06-05 23:49:00,197
10144,2,2023-06-06 00:01:00,165
10145,1,2023-06-06 00:11:00,163
10146,3,2023-06-06 00:19:00,160
10147,1,2023-06-06 00:28:00,190
10148,3,2023-06-06 00:40:00,180
10149,1,2023-06-06 00:48:00,173
10150,1,2023-06-06 00:57:00,182
10151,3,2023-06-06 01:09:00,162
10152,3,2023-06-06 01:20:00,183
10153,3,2023-06-06 01:28:00,173
10154,1,2023-06-06 01:37:00,196
10155,2,2023-06-06 01:47:00,167
10156,2,2023-06-06 01:58:00,157
10157,2,2023-06-06 02:10:00,170
10158,3,2023-06-06 02:22:00,182
10159,1,2023-06-06 02:32:00,190
10160,2,2023-06-06 02:43:00,170
10161,1,2023-06-06 02:53:00,169
10162,3,2023-06-06 03:05:00,195
10163,2,2023-06-06 03:13:00,179
10164,2,2023-06-06 03:22:00,161
10165,1,2023-06-06 03:32:00,194
10166,3,2023-06-06 03:41:00,174
10167,1,2023-06-06 03:50:00,161
10168,2,2023-06-06 04:02:00,189
10169,2,2023-06-06 04:10:00,187
10170,2,2023-06-06 04:18:00,151
10171,1,2023-06-06 04:27:00,179
10172,2,2023-06-06 04:36:00,194
10173,1,2023-06-06 04:44:00,184
10174,1,2023-06-06 04:52:00,180
10175,2,2023-06-06 05:02:00,165
10176,3,2023-06-06 05:11:00,184
10177,2,2023-06-06 05:20:00,190
10178,1,2023-06-06 05:28:00,187
10179,1,2023-06-06 05:36:00,185
10180,3,2023-06-06 05:44:00,195
10181,1,2023-06-06 05:54:00,181
10182,3,2023-06-06 06:05:00,167
10183,1,2023-06-06 06:15:00,183
10184,1,2023-06-06 06:23:00,155
10185,3,2023-06-06 06:35:00,182
10186,3,2023-06-06 06:47:00,189
10187,3,2023-06-06 06:56:00,169
10188,3,2023-06-06 07:04:00,169
10189,3,2023-06-06 07:16:00,170
10190,3,2023-06-06 07:27:00,166
10191,2,2023-06-06 07:36:00,160
10192,1,2023-06-06 07:48:00,171
10193,3,2023-06-06 07:59:00,175
10194,3,2023-06-06 08:10:00,163
10195,3,2023-06-06 08:22:00,174
10196,2,2023-06-06 08:33:00,174
10197,3,2023-06-06 08:43:00,197
10198,3,2023-06-06 08:53:00,174
10199,1,2023-06-06 09:05:00,186
10200,3,2023-06-06 09:14:00,191
10201,2,2023-06-06 09:22:00,178
10202,1,2023-06-06 09:33:00,185
10203,1,2023-06-06 09:42:00,156
10204,2,2023-06-06 09:50:00,163
10205,1,2023-06-06 09:59:00,199
10206,1,2023-06-06 10:10:00,155
10207,2,2023-06-06 10:22:00,199
10208,2,2023-06-06 10:30:00,186
10209,1,2023-06-06 10:41:00,155
10210,1,2023-06-06 10:50:00,189
10211,2,2023-06-06 11:01:00,185
10212,1,2023-06-06 11:13:00,178
10213,3,2023-06-06 11:24:00,170
10214,3,2023-06-06 11:34:00,161
10215,2,2023-06-06 11:43:00,161
10216,2,2023-06-06 11:55:00,192
10217,2,2023-06-06 12:07:00,172
10218,3,2023-06-06 12:16:00,200
10219,1,2023-06-06 12:25:00,181
10220,3,2023-06-06 12:35:00,190
10221,2,2023-06-06 12:45:00,191
10222,2,2023-06-06 12:54:00,196
10223,1,2023-06-06 13:04:00,178
10224,3,2023-06-06 13:12:00,154
10225,2,2023-06-06 13:20:00,175
10226,1,2023-06-06 13:31:00,175
10227,2,2023-06-06 13:40:00,151
10228,1,2023-06-06 13:49:00,151
10229,1,2023-06-06 14:00:00,180
10230,3,2023-06-06 14:09:00,197
10231,1,2023-06-06 14:17:00,173
10232,1,2023-06-06 14:29:00,180
10233,3,2023-06-06 14:38:00,178
10234,1,2023-06-06 14:46:00,188
10235,2,2023-06-06 14:54:00,178
10236,2,2023-06-06 15:05:00,162
10237,2,2023-06-06 15:16:00,188
10238,3,2023-06-06 15:28:00,183
10239,2,2023-06-06 15:40:00,196
10240,1,2023-06-06 15:52:00,161
10241,3,2023-06-06 16:03:00,199
10242,1,2023-06-06 16:13:00,168
10243,1,2023-06-06 16:25:00,154
10244,1,2023-06-06 16:33:00,163
10245,1,2023-06-06 16:41:00,156
10246,3,2023-06-06 16:52:00,154
10247,3,2023-06-06 17:03:00,164
10248,2,2023-06-06 17:11:00,178
10249,3,2023-06-06 17:19:00,170
10250,3,2023-06-06 17:29:00,188
10251,3,2023-06-06 17:39:00,174
10252,3,2023-06-06 17:50:00,200
10253,3,2023-06-06 17:58:00,155
10254,2,2023-06-06 18:10:00,160
10255,2,2023-06-06 18:18:00,160
10256,3,2023-06-06 18:29:00,157
10257,2,2023-06-06 18:38:00,188
10258,3,2023-06-06 18:50:00,198
10259,2,2023-06-06 19:02:00,192
10260,3,2023-06-06 19:14:00,179
10261,1,2023-06-06 19:22:00,171
10262,2,2023-06-06 19:33:00,189
10263,2,2023-06-06 19:45:00,178
10264,3,2023-06-06 19:56:00,171
10265,1,2023-06-06 20:05:00,176
10266,2,2023-06-06 20:16:00,164
10267,3,2023-06-06 20:26:00,156
10268,3,2023-06-06 20:35:00,166
10269,1,2023-06-06 20:47:00,167
10270,2,2023-06-06 20:57:00,176
10271,3,2023-06-06 21:08:00,157
10272,2,2023-06-06 21:18:00,200
10273,3,2023-06-06 21:29:00,191
10274,1,2023-06-06 21:38:00,162
10275,2,2023-06-06 21:49:00,150
10276,2,2023-06-06 21:57:00,151
10277,2,2023-06-06 22:09:00,170
10278,1,2023-06-06 22:20:00,176
10279,2,2023-06-06 22:28:00,169
10280,1,2023-06-06 22:40:00,161
10281,3,2023-06-06 22:50:00,180
10282,3,2023-06-06 23:00:00,168
10283,3,2023-06-06 23:08:00,196
10284,3,2023-06-06 23:19:00,198
10285,3,2023-06-06 23:31:00,200
10286,3,2023-06-06 23:41:00,187
10287,2,2023-06-06 23:50:00,150
10288,2,2023-06-07 00:00:00,191
10289,2,2023-06-07 00:11:00,157
10290,1,2023-06-07 00:21:00,179
10291,2,2023-06-07 00:29:00,182
10292,3,2023-06-07 00:40:00,155
10293,2,2023-06-07 00:51:00,187
10294,1,2023-06-07 01:00:00,165
10295,2,2023-06-07 01:12:00,153
10296,1,2023-06-07 01:21:00,164
10297,2,2023-06-07 01:30:00,160
10298,3,2023-06-07 01:42:00,173
10299,2,2023-06-07 01:50:00,162
10300,3,2023-06-07 02:01:00,191
10301,3,2023-06-07 02:10:00,196
10302,2,2023-06-07 02:18:00,179
10303,2,2023-06-07 02:27:00,195
10304,3,2023-06-07 02:35:00,159
10305,3,2023-06-07 02:44:00,153
10306,1,2023-06-07 02:56:00,155
10307,2,2023-06-07 03:04:00,153
10308,1,2023-06-07 03:14:00,198
10309,3,2023-06-07 03:23:00,175
10310,1,2023-06-07 03:33:00,177
10311,3,2023-06-07 03:44:00,176
10312,2,2023-06-07 03:54:00,200
10313,2,2023-06-07 04:05:00,168
10314,3,2023-06-07 04:17:00,176
10315,2,2023-06-07 04:27:00,197
10316,1,2023-06-07 04:37:00,193
10317,3,2023-06-07 04:49:00,172
10318,2,2023-06-07 04:59:00,169
10319,3,2023-06-07 05:09:00,189
10320,3,2023-06-07 05:19:00,176
10321,2,2023-06-07 05:28:00,166
10322,3,2023-06-07 05:36:00,195
10323,3,2023-06-07 05:47:00,196
10324,3,2023-06-07 05:57:00,182
10325,3,2023-06-07 06:05:00,151
10326,2,2023-06-07 06:14:00,174
10327,3,2023-06-07 06:23:00,185
10328,3,2023-06-07 06:31:00,169
10329,3,2023-06-07 06:39:00,174
10330,3,2023-06-07 06:48:00,174
10331,1,2023-06-07 06:57:00,196
10332,2,2023-06-07 07:09:00,189
10333,2,2023-06-07 07:20:00,190
10334,2,2023-06-07 07:31:00,199
10335,2,2023-06-07 07:41:00,194
10336,3,2023-06-07 07:49:00,155
10337,2,2023-06-07 08:00:00,189
10338,1,2023-06-07 08:09:00,169
10339,2,2023-06-07 08:19:00,159
10340,1,2023-06-07 08:29:00,157
10341,1,2023-06-07 08:39:00,172
10342,1,2023-06-07 08:48:00,160
10343,3,2023-06-07 09:00:00,154
10344,1,2023-06-07 09:08:00,169
10345,3,2023-06-07 09:20:00,169
10346,1,2023-06-07 09:28:00,158
10347,1,2023-06-07 09:40:00,150
10348,1,2023-06-07 09:50:00,163
10349,2,2023-06-07 10:02:00,186
10350,3,2023-06-07 10:12:00,170
10351,3,2023-06-07 10:20:00,169
10352,3,2023-06-07 10:31:00,154
10353,1,2023-06-07 10:42:00,192
10354,2,2023-06-07 10:51:00,176
10355,2,2023-06-07 11:01:00,195
10356,2,2023-06-07 11:10:00,186
10357,3,2023-06-07 11:22:00,179
10358,3,2023-06-07 11:33:00,152
10359,3,2023-06-07 11:41:00,181
10360,2,2023-06-07 11:49:00,171
10361,3,2023-06-07 12:01:00,165
10362,3,2023-06-07 12:12:00,192
10363,1,2023-06-07 12:24:00,168
10364,2,2023-06-07 12:36:00,187
10365,1,2023-06-07 12:48:00,180
10366,2,2023-06-07 12:57:00,187
10367,1,2023-06-07 13:06:00,154
10368,3,2023-06-07 13:17:00,158
10369,3,2023-06-07 13:28:00,191
10370,3,2023-06-07 13:38:00,182
10371,1,2023-06-07 13:49:00,194
10372,1,2023-06-07 14:00:00,153
10373,1,2023-06-07 14:08:00,174
10374,2,2023-06-07 14:17:00,174
10375,2,2023-06-07 14:29:00,174
10376,3,2023-06-07 14:41:00,188
10377,1,2023-06-07 14:51:00,178
10378,2,2023-06-07 14:59:00,158
10379,2,2023-06-07 15:09:00,177
10380,1,2023-06-07 15:18:00,163
10381,1,2023-06-07 15:30:00,197
10382,1,2023-06-07 15:41:00,181
10383,3,2023-06-07 15:49:00,156
10384,1,2023-06-07 15:59:00,183
10385,3,2023-06-07 16:11:00,155
10386,2,2023-06-07 16:23:00,194
10387,1,2023-06-07 16:32:00,161
10388,1,2023-06-07 16:40:00,158
10389,2,2023-06-07 16:51:00,158
10390,1,2023-06-07 17:00:00,165
10391,1,2023-06-07 17:11:00,185
10392,3,2023-06-07 17:23:00,164
10393,3,2023-06-07 17:33:00,170
10394,2,2023-06-07 17:42:00,165
10395,3,2023-06-07 17:54:00,172
10396,2,2023-06-07 18:06:00,198
10397,2,2023-06-07 18:16:00,172
10398,1,2023-06-07 18:27:00,178
10399,2,2023-06-07 18:35:00,166
10400,2,2023-06-07 18:43:00,183
10401,2,2023-06-07 18:53:00,153
10402,2,2023-06-07 19:03:00,159
10403,3,2023-06-07 19:11:00,198
10404,1,2023-06-07 19:23:00,179
10405,3,2023-06-07 19:35:00,169
10406,3,2023-06-07 19:47:00,178
10407,1,2023-06-07 19:56:00,172
10408,1,2023-06-07 20:04:00,150
10409,1,2023-06-07 20:13:00,167
10410,3,2023-06-07 20:23:00,170
10411,2,2023-06-07 20:34:00,195
10412,2,2023-06-07 20:45:00,190
10413,2,2023-06-07 20:54:00,200
10414,1,2023-06-07 21:06:00,181
10415,1,2023-06-07 21:15:00,155
10416,2,2023-06-07 21:26:00,159
10417,2,2023-06-07 21:38:00,198
10418,1,2023-06-07 21:48:00,199
10419,2,2023-06-07 21:57:00,172
10420,3,2023-06-07 22:08:00,165
10421,3,2023-06-07 22:18:00,168
10422,2,2023-06-07 22:29:00,180
10423,1,2023-06-07 22:41:00,188
10424,2,2023-06-07 22:53:00,177
10425,1,2023-06-07 23:05:00,153
10426,1,2023-06-07 23:13:00,159
10427,1,2023-06-07 23:22:00,199
10428,2,2023-06-07 23:32:00,168
10429,3,2023-06-07 23:41:00,159
10430,3,2023-06-07 23:49:00,196
10431,3,2023-06-08 00:01:00,172
10432,1,2023-06-08 00:13:00,151
10433,2,2023-06-08 00:24:00,186
10434,2,2023-06-08 00:34:00,192
10435,3,2023-06-08 00:44:00,167
10436,1,2023-06-08 00:52:00,151
10437,3,2023-06-08 01:04:00,177
10438,2,2023-06-08 01:14:00,182
10439,1,2023-06-08 01:22:00,160
10440,1,2023-06-08 01:34:00,154
10441,1,2023-06-08 01:42:00,159
10442,3,2023-06-08 01:52:00,159
10443,1,2023-06-08 02:01:00,166
10444,2,2023-06-08 02:12:00,169
10445,3,2023-06-08 02:24:00,167
10446,1,2023-06-08 02:32:00,179
10447,1,2023-06-08 02:40:00,169
10448,2,2023-06-08 02:52:00,181
10449,1,2023-06-08 03:02:00,186
10450,1,2023-06-08 03:12:00,154
10451,2,2023-06-08 03:24:00,180
10452,1,2023-06-08 03:34:00,190
10453,2,2023-06-08 03:42:00,194
10454,3,2023-06-08 03:50:00,161
10455,1,2023-06-08 04:00:00,182
10456,1,2023-06-08 04:08:00,159
10457,3,2023-06-08 04:18:00,188
10458,1,2023-06-08 04:28:00,181
10459,1,2023-06-08 04:38:00,186
10460,2,2023-06-08 04:49:00,176
10461,1,2023-06-08 05:01:00,189
10462,3,2023-06-08 05:11:00,154
10463,1,2023-06-08 05:21:00,200
10464,2,2023-06-08 05:33:00,181
10465,1,2023-06-08 05:41:00,189
10466,1,2023-06-08 05:49:00,196
10467,3,2023-06-08 05:57:00,197
10468,2,2023-06-08 06:09:00,155
10469,1,2023-06-08 06:17:00,165
10470,3,2023-06-08 06:27:00,184
10471,1,2023-06-08 06:35:00,165
10472,2,2023-06-08 06:45:00,189
10473,1,2023-06-08 06:55:00,198
10474,2,2023-06-08 07:06:00,157
10475,3,2023-06-08 07:18:00,176
10476,3,2023-06-08 07:30:00,170
10477,3,2023-06-08 07:42:00,195
10478,2,2023-06-08 07:51:00,151
10479,3,2023-06-08 08:00:00,171
10480,3,2023-06-08 08:11:00,174
10481,3,2023-06-08 08:23:00,185
10482,3,2023-06-08 08:35:00,169
10483,3,2023-06-08 08:47:00,164
10484,1,2023-06-08 08:57:00,177
10485,1,2023-06-08 09:05:00,180
10486,3,2023-06-08 09:13:00,191
10487,3,2023-06-08 09:23:00,177
10488,1,2023-06-08 09:34:00,158
10489,3,2023-06-08 09:43:00,197
10490,2,2023-06-08 09:55:00,189
10491,3,2023-06-08 10:04:00,164
10492,2,2023-06-08 10:12:00,167
10493,2,2023-06-08 10:22:00,175
10494,2,2023-06-08 10:32:00,157
10495,1,2023-06-08 10:42:00,160
10496,2,2023-06-08 10:51:00,187
10497,3,2023-06-08 11:03:00,190
10498,1,2023-06-08 11:13:00,155
10499,3,2023-06-08 11:25:00,171
10500,2,2023-06-08 11:35:00,191
10501,1,2023-06-08 11:47:00,163
10502,1,2023-06-08 11:55:00,165
10503,2,2023-06-08 12:06:00,163
10504,1,2023-06-08 12:15:00,181
10505,1,2023-06-08 12:26:00,164
10506,1,2023-06-08 12:37:00,175
10507,3,2023-06-08 12:47:00,196
10508,3,2023-06-08 12:58:00,193
10509,3,2023-06-08 13:07:00,193
10510,2,2023-06-08 13:18:00,168
10511,3,2023-06-08 13:29:00,191
10512,2,2023-06-08 13:37:00,173
10513,1,2023-06-08 13:45:00,197
10514,3,2023-06-08 13:53:00,194
10515,1,2023-06-08 14:05:00,162
10516,2,2023-06-08 14:15:00,152
10517,1,2023-06-08 14:25:00,179
10518,3,2023-06-08 14:34:00,173
10519,1,2023-06-08 14:43:00,189
10520,2,2023-06-08 14:54:00,172
10521,2,2023-06-08 15:04:00,199
10522,1,2023-06-08 15:16:00,151
10523,3,2023-06-08 15:25:00,197
10524,3,2023-06-08 15:35:00,185
10525,1,2023-06-08 15:47:00,160
10526,3,2023-06-08 15:55:00,174
10527,1,2023-06-08 16:07:00,194
10528,1,2023-06-08 16:19:00,152
10529,3,2023-06-08 16:31:00,163
10530,1,2023-06-08 16:40:00,198
10531,2,2023-06-08 16:51:00,168
10532,1,2023-06-08 17:00:00,190
10533,1,2023-06-08 17:11:00,197
10534,3,2023-06-08 17:20:00,169
10535,1,2023-06-08 17:28:00,163
10536,3,2023-06-08 17:40:00,167
10537,1,2023-06-08 17:49:00,168
10538,1,2023-06-08 17:57:00,179
10539,3,2023-06-08 18:09:00,167
10540,1,2023-06-08 18:19:00,178
10541,2,2023-06-08 18:30:00,173
10542,2,2023-06-08 18:40:00,191
10543,1,2023-06-08 18:49:00,189
10544,3,2023-06-08 18:59:00,189
10545,1,2023-06-08 19:10:00,191
10546,1,2023-06-08 19:20:00,173
10547,2,2023-06-08 19:30:00,190
10548,1,2023-06-08 19:39:00,191
10549,2,2023-06-08 19:49:00,170
10550,2,2023-06-08 19:58:00,158
10551,2,2023-06-08 20:09:00,178
10552,2,2023-06-08 20:20:00,158
10553,3,2023-06-08 20:30:00,151
10554,2,2023-06-08 20:39:00,156
10555,3,2023-06-08 20:47:00,175
10556,3,2023-06-08 20:58:00,185
10557,1,2023-06-08 21:08:00,166
10558,2,2023-06-08 21:16:00,199
10559,3,2023-06-08 21:26:00,185
10560,2,2023-06-08 21:34:00,189
10561,2,2023-06-08 21:42:00,173
10562,3,2023-06-08 21:53:00,166
10563,2,2023-06-08 22:01:00,165
10564,3,2023-06-08 22:13:00,178
10565,2,2023-06-08 22:22:00,191
10566,1,2023-06-08 22:32:00,159
10567,1,2023-06-08 22:44:00,177
10568,2,2023-06-08 22:52:00,177
10569,1,2023-06-08 23:00:00,159
10570,2,2023-06-08 23:11:00,155
10571,2,2023-06-08 23:19:00,182
10572,3,2023-06-08 23:30:00,183
10573,2,2023-06-08 23:40:00,168
10574,2,2023-06-08 23:48:00,193
10575,1,2023-06-08 23:56:00,163
10576,1,2023-06-09 00:06:00,163
10577,1,2023-06-09 00:17:00,192
10578,1,2023-06-09 00:28:00,159
10579,1,2023-06-09 00:36:00,154
10580,1,2023-06-09 00:46:00,186
10581,2,2023-06-09 00:57:00,153
10582,1,2023-06-09 01:05:00,166
10583,3,2023-06-09 01:17:00,164
10584,3,2023-06-09 01:29:00,152
10585,2,2023-06-09 01:41:00,185
10586,2,2023-06-09 01:49:00,176
10587,1,2023-06-09 02:00:00,200
10588,2,2023-06-09 02:10:00,193
10589,3,2023-06-09 02:22:00,186
10590,1,2023-06-09 02:33:00,196
10591,1,2023-06-09 02:41:00,178
10592,2,2023-06-09 02:49:00,185
10593,2,2023-06-09 03:01:00,199
10594,3,2023-06-09 03:12:00,192
10595,2,2023-06-09 03:23:00,190
10596,2,2023-06-09 03:31:00,183
10597,2,2023-06-09 03:39:00,167
10598,1,2023-06-09 03:48:00,175
10599,3,2023-06-09 03:57:00,200
10600,2,2023-06-09 04:05:00,189
10601,2,2023-06-09 04:13:00,165
10602,2,2023-06-09 04:23:00,172
10603,3,2023-06-09 04:35:00,197
10604,1,2023-06-09 04:45:00,155
10605,2,2023-06-09 04:54:00,152
10606,2,2023-06-09 05:05:00,172
10607,2,2023-06-09 05:15:00,200
10608,1,2023-06-09 05:24:00,153
10609,3,2023-06-09 05:33:00,197
10610,2,2023-06-09 05:43:00,162
10611,2,2023-06-09 05:54:00,173
10612,1,2023-06-09 06:05:00,154
10613,3,2023-06-09 06:15:00,151
10614,3,2023-06-09 06:24:00,192
10615,2,2023-06-09 06:34:00,173
10616,2,2023-06-09 06:46:00,167
10617,1,2023-06-09 06:57:00,195
10618,1,2023-06-09 07:07:00,183
10619,2,2023-06-09 07:19:00,199
10620,2,2023-06-09 07:31:00,182
10621,3,2023-06-09 07:40:00,181
10622,1,2023-06-09 07:49:00,200
10623,3,2023-06-09 08:01:00,165
10624,2,2023-06-09 08:11:00,160
10625,2,2023-06-09 08:19:00,192
10626,1,2023-06-09 08:28:00,193
10627,1,2023-06-09 08:38:00,156
10628,2,2023-06-09 08:46:00,191
10629,1,2023-06-09 08:57:00,156
10630,2,2023-06-09 09:08:00,154
10631,3,2023-06-09 09:20:00,198
10632,3,2023-06-09 09:31:00,196
10633,3,2023-06-09 09:42:00,162
10634,3,2023-06-09 09:52:00,180
10635,3,2023-06-09 10:00:00,155
10636,3,2023-06-09 10:11:00,174
10637,3,2023-06-09 10:19:00,153
10638,3,2023-06-09 10:28:00,150
10639,2,2023-06-09 10:38:00,200
10640,2,2023-06-09 10:50:00,184
10641,3,2023-06-09 10:59:00,150
10642,2,2023-06-09 11:09:00,179
10643,2,2023-06-09 11:20:00,156
10644,1,2023-06-09 11:31:00,173
10645,2,2023-06-09 11:42:00,194
10646,3,2023-06-09 11:53:00,186
10647,3,2023-06-09 12:04:00,174
10648,3,2023-06-09 12:16:00,150
10649,3,2023-06-09 12:28:00,192
10650,3,2023-06-09 12:40:00,154
10651,2,2023-06-09 12:51:00,177
10652,1,2023-06-09 13:01:00,181
10653,1,2023-06-09 13:13:00,187
10654,2,2023-06-09 13:22:00,174
10655,3,2023-06-09 13:32:00,184
10656,3,2023-06-09 13:43:00,167
10657,2,2023-06-09 13:53:00,178
10658,2,2023-06-09 14:05:00,178
10659,3,2023-06-09 14:14:00,182
10660,3,2023-06-09 14:23:00,192
10661,1,2023-06-09 14:35:00,154
10662,2,2023-06-09 14:43:00,188
10663,2,2023-06-09 14:52:00,167
10664,1,2023-06-09 15:00:00,171
10665,2,2023-06-09 15:09:00,199
10666,3,2023-06-09 15:17:00,164
10667,2,2023-06-09 15:28:00,152
10668,2,2023-06-09 15:40:00,188
10669,1,2023-06-09 15:51:00,156
10670,3,2023-06-09 16:01:00,170
10671,1,2023-06-09 16:12:00,195
10672,3,2023-06-09 16:24:00,167
10673,2,2023-06-09 16:33:00,162
10674,2,2023-06-09 16:44:00,175
10675,1,2023-06-09 16:52:00,156
10676,1,2023-06-09 17:03:00,167
10677,1,2023-06-09 17:15:00,164
10678,2,2023-06-09 17:26:00,181
10679,3,2023-06-09 17:38:00,160
10680,1,2023-06-09 17:49:00,152
10681,3,2023-06-09 18:00:00,160
10682,2,2023-06-09 18:09:00,169
10683,2,2023-06-09 18:18:00,155
10684,3,2023-06-09 18:26:00,184
10685,3,2023-06-09 18:34:00,160
10686,1,2023-06-09 18:43:00,158
10687,2,2023-06-09 18:53:00,168
10688,1,2023-06-09 19:03:00,181
10689,2,2023-06-09 19:15:00,176
10690,3,2023-06-09 19:25:00,164
10691,1,2023-06-09 19:35:00,176
10692,2,2023-06-09 19:44:00,196
10693,3,2023-06-09 19:54:00,197
10694,2,2023-06-09 20:04:00,155
10695,2,2023-06-09 20:12:00,198
10696,1,2023-06-09 20:23:00,182
