internal_specimen_id,external_specimen_id,result_time,test_type,result_value
6364,10040,2023-06-09 13:00:00,MGBRY,324
6365,10041,2023-06-09 13:00:00,FRDST,239
6365,10041,2023-06-09 13:00:00,SNKVM,645
6365,10041,2023-06-09 13:00:00,MGBRY,89
6366,10043,2023-06-09 13:00:00,FRDST,597
6366,10043,2023-06-09 13:00:00,SNKVM,895
6366,10043,2023-06-09 13:00:00,MGBRY,898
6367,10045,2023-06-09 13:00:00,FRDST,988
6367,10045,2023-06-09 13:00:00,SNKVM,152
6367,10045,2023-06-09 13:00:00,MGBRY,90
6368,10046,2023-06-09 13:00:00,FRDST,998
6368,10046,2023-06-09 13:00:00,SNKVM,888
6368,10046,2023-06-09 13:00:00,MGBRY,406
6369,10050,2023-06-09 13:00:00,FRDST,1044
6369,10050,2023-06-09 13:00:00,SNKVM,295
6369,10050,2023-06-09 13:00:00,MGBRY,1144
6370,10051,2023-06-09 13:00:00,FRDST,1092
6370,10051,2023-06-09 13:00:00,SNKVM,347
6370,10051,2023-06-09 13:00:00,MGBRY,861
6371,10052,2023-06-09 13:00:00,FRDST,1128
6371,10052,2023-06-09 13:00:00,SNKVM,1171
6371,10052,2023-06-09 13:00:00,MGBRY,123
6372,10053,2023-06-09 13:00:00,FRDST,273
6372,10053,2023-06-09 13:00:00,SNKVM,1012
6372,10053,2023-06-09 13:00:00,MGBRY,743
6373,10055,2023-06-09 13:00:00,FRDST,325
6373,10055,2023-06-09 13:00:00,SNKVM,54
6373,10055,2023-06-09 13:00:00,MGBRY,551
6374,10058,2023-06-09 13:00:00,FRDST,365
6374,10058,2023-06-09 13:00:00,SNKVM,656
6374,10058,2023-06-09 13:00:00,MGBRY,400
6375,10059,2023-06-09 13:00:00,FRDST,547
6375,10059,2023-06-09 13:00:00,SNKVM,879
6375,10059,2023-06-09 13:00:00,MGBRY,1050
6376,10060,2023-06-09 13:00:00,FRDST,983
6376,10060,2023-06-09 13:00:00,SNKVM,616
6376,10060,2023-06-09 13:00:00,MGBRY,669
6377,10063,2023-06-09 13:00:00,FRDST,961
6377,10063,2023-06-09 13:00:00,SNKVM,1152
6377,10063,2023-06-09 13:00:00,MGBRY,517
6378,10064,2023-06-09 13:00:00,FRDST,356
6378,10064,2023-06-09 13:00:00,SNKVM,376
6378,10064,2023-06-09 13:00:00,MGBRY,740
6379,10065,2023-06-09 13:00:00,FRDST,831
6379,10065,2023-06-09 13:00:00,SNKVM,1115
6379,10065,2023-06-09 13:00:00,MGBRY,673
6380,10068,2023-06-09 13:00:00,FRDST,1109
6380,10068,2023-06-09 13:00:00,SNKVM,893
6380,10068,2023-06-09 13:00:00,MGBRY,807
6381,10069,2023-06-09 13:00:00,FRDST,156
6381,10069,2023-06-09 13:00:00,SNKVM,719
6381,10069,2023-06-09 13:00:00,MGBRY,106
6382,10072,2023-06-09 13:00:00,FRDST,300
6382,10072,2023-06-09 13:00:00,SNKVM,1018
6382,10072,2023-06-09 13:00:00,MGBRY,338
6383,10073,2023-06-09 13:00:00,FRDST,415
6383,10073,2023-06-09 13:00:00,SNKVM,599
6383,10073,2023-06-09 13:00:00,MGBRY,526
6384,10074,2023-06-09 13:00:00,FRDST,601
6384,10074,2023-06-09 13:00:00,SNKVM,983
6384,10074,2023-06-09 13:00:00,MGBRY,814
6385,10075,2023-06-09 13:00:00,FRDST,418
6385,10075,2023-06-09 13:00:00,SNKVM,492
6385,10075,2023-06-09 13:00:00,MGBRY,735
6386,10076,2023-06-09 13:00:00,FRDST,77
6386,10076,2023-06-09 13:00:00,SNKVM,1037
6386,10076,2023-06-09 13:00:00,MGBRY,503
6387,10077,2023-06-09 13:00:00,FRDST,450
6387,10077,2023-06-09 13:00:00,SNKVM,252
6387,10077,2023-06-09 13:00:00,MGBRY,163
6388,10079,2023-06-09 13:00:00,FRDST,968
6388,10079,2023-06-09 13:00:00,SNKVM,922
6388,10079,2023-06-09 13:00:00,MGBRY,1096
6389,10081,2023-06-09 13:00:00,FRDST,675
6389,10081,2023-06-09 13:00:00,SNKVM,530
6389,10081,2023-06-09 13:00:00,MGBRY,552
6390,10083,2023-06-09 13:00:00,FRDST,597
6390,10083,2023-06-09 13:00:00,SNKVM,770
6390,10083,2023-06-09 13:00:00,MGBRY,1191
6391,10085,2023-06-09 13:00:00,FRDST,223
6391,10085,2023-06-09 13:00:00,SNKVM,1087
6391,10085,2023-06-09 13:00:00,MGBRY,354
6392,10087,2023-06-09 13:00:00,FRDST,1060
6392,10087,2023-06-09 13:00:00,SNKVM,314
6392,10087,2023-06-09 13:00:00,MGBRY,737
6393,10089,2023-06-09 13:00:00,FRDST,482
6393,10089,2023-06-09 13:00:00,SNKVM,1078
6393,10089,2023-06-09 13:00:00,MGBRY,757
6394,10090,2023-06-09 13:00:00,FRDST,87
6394,10090,2023-06-09 13:00:00,SNKVM,1141
6394,10090,2023-06-09 13:00:00,MGBRY,1031
6395,10091,2023-06-09 13:00:00,FRDST,474
6395,10091,2023-06-09 13:00:00,SNKVM,175
6395,10091,2023-06-09 13:00:00,MGBRY,134
6396,10093,2023-06-09 13:00:00,FRDST,611
6396,10093,2023-06-09 13:00:00,SNKVM,674
6396,10093,2023-06-09 13:00:00,MGBRY,426
6397,10095,2023-06-09 13:00:00,FRDST,65
6397,10095,2023-06-09 13:00:00,SNKVM,210
6397,10095,2023-06-09 13:00:00,MGBRY,392
6398,10096,2023-06-09 13:00:00,FRDST,308
6398,10096,2023-06-09 13:00:00,SNKVM,161
6398,10096,2023-06-09 13:00:00,MGBRY,1103
6399,10098,2023-06-09 13:00:00,FRDST,1005
6399,10098,2023-06-09 13:00:00,SNKVM,644
6399,10098,2023-06-09 13:00:00,MGBRY,907
6400,10099,2023-06-09 13:00:00,FRDST,242
6400,10099,2023-06-09 13:00:00,SNKVM,261
6400,10099,2023-06-09 13:00:00,MGBRY,969
6401,10100,2023-06-09 13:00:00,FRDST,927
6401,10100,2023-06-09 13:00:00,SNKVM,457
6401,10100,2023-06-09 13:00:00,MGBRY,190
6402,10101,2023-06-09 13:00:00,FRDST,650
6402,10101,2023-06-09 13:00:00,SNKVM,463
6402,10101,2023-06-09 13:00:00,MGBRY,92
6403,10103,2023-06-09 13:00:00,FRDST,799
6403,10103,2023-06-09 13:00:00,SNKVM,420
6403,10103,2023-06-09 13:00:00,MGBRY,1136
6404,10107,2023-06-09 13:00:00,FRDST,398
6404,10107,2023-06-09 13:00:00,SNKVM,481
6404,10107,2023-06-09 13:00:00,MGBRY,217
6405,10109,2023-06-09 13:00:00,FRDST,347
6405,10109,2023-06-09 13:00:00,SNKVM,884
6405,10109,2023-06-09 13:00:00,MGBRY,904
6406,10110,2023-06-09 13:00:00,FRDST,372
6406,10110,2023-06-09 13:00:00,SNKVM,945
6406,10110,2023-06-09 13:00:00,MGBRY,934
6407,10111,2023-06-09 13:00:00,FRDST,1073
6407,10111,2023-06-09 13:00:00,SNKVM,434
6407,10111,2023-06-09 13:00:00,MGBRY,820
6408,10112,2023-06-09 13:00:00,FRDST,125
6408,10112,2023-06-09 13:00:00,SNKVM,1114
6408,10112,2023-06-09 13:00:00,MGBRY,514
6409,10113,2023-06-09 13:00:00,FRDST,588
6409,10113,2023-06-09 13:00:00,SNKVM,530
6409,10113,2023-06-09 13:00:00,MGBRY,730
6410,10117,2023-06-09 13:00:00,FRDST,652
6410,10117,2023-06-09 13:00:00,SNKVM,282
6410,10117,2023-06-09 13:00:00,MGBRY,543
6411,10119,2023-06-09 13:00:00,FRDST,1164
6411,10119,2023-06-09 13:00:00,SNKVM,491
6411,10119,2023-06-09 13:00:00,MGBRY,696
6412,10121,2023-06-09 13:00:00,FRDST,459
6412,10121,2023-06-09 13:00:00,SNKVM,1147
6412,10121,2023-06-09 13:00:00,MGBRY,398
6413,10123,2023-06-09 13:00:00,FRDST,244
6413,10123,2023-06-09 13:00:00,SNKVM,971
6413,10123,2023-06-09 13:00:00,MGBRY,444
6414,10124,2023-06-09 13:00:00,FRDST,503
6414,10124,2023-06-09 13:00:00,SNKVM,1136
6414,10124,2023-06-09 13:00:00,MGBRY,209
6415,10125,2023-06-09 13:00:00,FRDST,307
6415,10125,2023-06-09 13:00:00,SNKVM,1057
6415,10125,2023-06-09 13:00:00,MGBRY,587
6416,10127,2023-06-09 13:00:00,FRDST,603
6416,10127,2023-06-09 13:00:00,SNKVM,981
6416,10127,2023-06-09 13:00:00,MGBRY,299
6417,10132,2023-06-09 13:00:00,FRDST,687
6417,10132,2023-06-09 13:00:00,SNKVM,800
6417,10132,2023-06-09 13:00:00,MGBRY,612
6418,10133,2023-06-09 13:00:00,FRDST,166
6418,10133,2023-06-09 13:00:00,SNKVM,1036
6418,10133,2023-06-09 13:00:00,MGBRY,990
6419,10134,2023-06-09 13:00:00,FRDST,771
6419,10134,2023-06-09 13:00:00,SNKVM,714
6419,10134,2023-06-09 13:00:00,MGBRY,808
6420,10135,2023-06-09 13:00:00,FRDST,1107
6420,10135,2023-06-09 13:00:00,SNKVM,269
6420,10135,2023-06-09 13:00:00,MGBRY,799
6421,10137,2023-06-09 13:00:00,FRDST,563
6421,10137,2023-06-09 13:00:00,SNKVM,199
6421,10137,2023-06-09 13:00:00,MGBRY,306
6422,10138,2023-06-09 13:00:00,FRDST,1116
6422,10138,2023-06-09 13:00:00,SNKVM,417
6422,10138,2023-06-09 13:00:00,MGBRY,777
6423,10140,2023-06-09 13:00:00,FRDST,855
6423,10140,2023-06-09 13:00:00,SNKVM,1060
6423,10140,2023-06-09 13:00:00,MGBRY,673
6424,10151,2023-06-11 12:00:00,FRDST,652
6424,10151,2023-06-11 12:00:00,SNKVM,111
6424,10151,2023-06-11 12:00:00,MGBRY,495
6425,10152,2023-06-11 12:00:00,FRDST,388
6425,10152,2023-06-11 12:00:00,SNKVM,73
6425,10152,2023-06-11 12:00:00,MGBRY,641
6426,10153,2023-06-11 12:00:00,FRDST,628
6426,10153,2023-06-11 12:00:00,SNKVM,890
6426,10153,2023-06-11 12:00:00,MGBRY,550
6427,10154,2023-06-11 12:00:00,FRDST,871
6427,10154,2023-06-11 12:00:00,SNKVM,441
6427,10154,2023-06-11 12:00:00,MGBRY,485
6428,10156,2023-06-11 12:00:00,FRDST,480
6428,10156,2023-06-11 12:00:00,SNKVM,544
6428,10156,2023-06-11 12:00:00,MGBRY,822
6429,10159,2023-06-11 12:00:00,FRDST,607
6429,10159,2023-06-11 12:00:00,SNKVM,256
6429,10159,2023-06-11 12:00:00,MGBRY,601
6430,10160,2023-06-11 12:00:00,FRDST,279
6430,10160,2023-06-11 12:00:00,SNKVM,524
6430,10160,2023-06-11 12:00:00,MGBRY,1058
6431,10161,2023-06-11 12:00:00,FRDST,75
6431,10161,2023-06-11 12:00:00,SNKVM,621
6431,10161,2023-06-11 12:00:00,MGBRY,559
6432,10163,2023-06-11 12:00:00,FRDST,292
6432,10163,2023-06-11 12:00:00,SNKVM,827
6432,10163,2023-06-11 12:00:00,MGBRY,670
6433,10166,2023-06-11 12:00:00,FRDST,841
6433,10166,2023-06-11 12:00:00,SNKVM,290
6433,10166,2023-06-11 12:00:00,MGBRY,491
6434,10167,2023-06-11 12:00:00,FRDST,484
6434,10167,2023-06-11 12:00:00,SNKVM,518
6434,10167,2023-06-11 12:00:00,MGBRY,168
6435,10171,2023-06-11 12:00:00,FRDST,956
6435,10171,2023-06-11 12:00:00,SNKVM,266
6435,10171,2023-06-11 12:00:00,MGBRY,326
6436,10172,2023-06-11 12:00:00,FRDST,667
6436,10172,2023-06-11 12:00:00,SNKVM,645
6436,10172,2023-06-11 12:00:00,MGBRY,824
6437,10173,2023-06-11 12:00:00,FRDST,977
6437,10173,2023-06-11 12:00:00,SNKVM,104
6437,10173,2023-06-11 12:00:00,MGBRY,136
6438,10178,2023-06-11 12:00:00,FRDST,851
6438,10178,2023-06-11 12:00:00,SNKVM,1058
6438,10178,2023-06-11 12:00:00,MGBRY,339
6439,10179,2023-06-11 12:00:00,FRDST,747
6439,10179,2023-06-11 12:00:00,SNKVM,1069
6439,10179,2023-06-11 12:00:00,MGBRY,820
6440,10180,2023-06-11 12:00:00,FRDST,418
6440,10180,2023-06-11 12:00:00,SNKVM,1132
6440,10180,2023-06-11 12:00:00,MGBRY,200
6441,10183,2023-06-11 12:00:00,FRDST,825
6441,10183,2023-06-11 12:00:00,SNKVM,687
6441,10183,2023-06-11 12:00:00,MGBRY,1112
6442,10187,2023-06-11 12:00:00,FRDST,507
6442,10187,2023-06-11 12:00:00,SNKVM,955
6442,10187,2023-06-11 12:00:00,MGBRY,662
6443,10188,2023-06-11 12:00:00,FRDST,194
6443,10188,2023-06-11 12:00:00,SNKVM,230
6443,10188,2023-06-11 12:00:00,MGBRY,1087
6444,10189,2023-06-11 12:00:00,FRDST,617
6444,10189,2023-06-11 12:00:00,SNKVM,705
6444,10189,2023-06-11 12:00:00,MGBRY,612
6445,10194,2023-06-11 12:00:00,FRDST,563
6445,10194,2023-06-11 12:00:00,SNKVM,832
6445,10194,2023-06-11 12:00:00,MGBRY,633
6446,10195,2023-06-11 12:00:00,FRDST,858
6446,10195,2023-06-11 12:00:00,SNKVM,1105
6446,10195,2023-06-11 12:00:00,MGBRY,916
6447,10196,2023-06-11 12:00:00,FRDST,61
6447,10196,2023-06-11 12:00:00,SNKVM,1054
6447,10196,2023-06-11 12:00:00,MGBRY,532
6448,10198,2023-06-11 12:00:00,FRDST,856
6448,10198,2023-06-11 12:00:00,SNKVM,151
6448,10198,2023-06-11 12:00:00,MGBRY,943
6449,10202,2023-06-11 12:00:00,FRDST,1173
6449,10202,2023-06-11 12:00:00,SNKVM,557
6449,10202,2023-06-11 12:00:00,MGBRY,887
6450,10204,2023-06-11 12:00:00,FRDST,1169
6450,10204,2023-06-11 12:00:00,SNKVM,664
6450,10204,2023-06-11 12:00:00,MGBRY,138
6451,10205,2023-06-11 12:00:00,FRDST,717
6451,10205,2023-06-11 12:00:00,SNKVM,831
6451,10205,2023-06-11 12:00:00,MGBRY,1034
6452,10206,2023-06-11 12:00:00,FRDST,1117
6452,10206,2023-06-11 12:00:00,SNKVM,1002
6452,10206,2023-06-11 12:00:00,MGBRY,1194
6453,10208,2023-06-11 12:00:00,FRDST,1107
6453,10208,2023-06-11 12:00:00,SNKVM,948
6453,10208,2023-06-11 12:00:00,MGBRY,1016
6454,10209,2023-06-11 12:00:00,FRDST,827
6454,10209,2023-06-11 12:00:00,SNKVM,822
6454,10209,2023-06-11 12:00:00,MGBRY,320
6455,10210,2023-06-11 12:00:00,FRDST,331
6455,10210,2023-06-11 12:00:00,SNKVM,805
6455,10210,2023-06-11 12:00:00,MGBRY,53
6456,10212,2023-06-11 12:00:00,FRDST,749
6456,10212,2023-06-11 12:00:00,SNKVM,129
6456,10212,2023-06-11 12:00:00,MGBRY,153
6457,10217,2023-06-11 12:00:00,FRDST,656
6457,10217,2023-06-11 12:00:00,SNKVM,995
6457,10217,2023-06-11 12:00:00,MGBRY,593
6458,10218,2023-06-11 12:00:00,FRDST,812
6458,10218,2023-06-11 12:00:00,SNKVM,766
6458,10218,2023-06-11 12:00:00,MGBRY,193
6459,10224,2023-06-11 12:00:00,FRDST,731
6459,10224,2023-06-11 12:00:00,SNKVM,824
6459,10224,2023-06-11 12:00:00,MGBRY,304
6460,10228,2023-06-11 12:00:00,FRDST,1107
6460,10228,2023-06-11 12:00:00,SNKVM,755
6460,10228,2023-06-11 12:00:00,MGBRY,79
6461,10230,2023-06-11 12:00:00,FRDST,500
6461,10230,2023-06-11 12:00:00,SNKVM,175
6461,10230,2023-06-11 12:00:00,MGBRY,205
6462,10231,2023-06-11 12:00:00,FRDST,689
6462,10231,2023-06-11 12:00:00,SNKVM,693
6462,10231,2023-06-11 12:00:00,MGBRY,435
6463,10232,2023-06-11 12:00:00,FRDST,766
6463,10232,2023-06-11 12:00:00,SNKVM,1032
6463,10232,2023-06-11 12:00:00,MGBRY,159
6464,10233,2023-06-11 12:00:00,FRDST,115
6464,10233,2023-06-11 12:00:00,SNKVM,382
6464,10233,2023-06-11 12:00:00,MGBRY,312
6465,10234,2023-06-11 12:00:00,FRDST,698
6465,10234,2023-06-11 12:00:00,SNKVM,927
6465,10234,2023-06-11 12:00:00,MGBRY,912
6466,10236,2023-06-11 12:00:00,FRDST,768
6466,10236,2023-06-11 12:00:00,SNKVM,666
6466,10236,2023-06-11 12:00:00,MGBRY,297
6467,10237,2023-06-11 12:00:00,FRDST,304
6467,10237,2023-06-11 12:00:00,SNKVM,489
6467,10237,2023-06-11 12:00:00,MGBRY,909
6468,10239,2023-06-11 12:00:00,FRDST,348
6468,10239,2023-06-11 12:00:00,SNKVM,866
6468,10239,2023-06-11 12:00:00,MGBRY,928
6469,10240,2023-06-11 12:00:00,FRDST,762
6469,10240,2023-06-11 12:00:00,SNKVM,249
6469,10240,2023-06-11 12:00:00,MGBRY,1068
6470,10244,2023-06-11 12:00:00,FRDST,470
6470,10244,2023-06-11 12:00:00,SNKVM,696
6470,10244,2023-06-11 12:00:00,MGBRY,1045
6471,10246,2023-06-11 12:00:00,FRDST,531
6471,10246,2023-06-11 12:00:00,SNKVM,286
6471,10246,2023-06-11 12:00:00,MGBRY,77
6472,10249,2023-06-11 12:00:00,FRDST,58
6472,10249,2023-06-11 12:00:00,SNKVM,169
6472,10249,2023-06-11 12:00:00,MGBRY,915
6473,10253,2023-06-11 12:00:00,FRDST,187
6473,10253,2023-06-11 12:00:00,SNKVM,317
6473,10253,2023-06-11 12:00:00,MGBRY,1030
6474,10255,2023-06-11 12:00:00,FRDST,1102
6474,10255,2023-06-11 12:00:00,SNKVM,610
6474,10255,2023-06-11 12:00:00,MGBRY,241
6475,10258,2023-06-11 12:00:00,FRDST,704
6475,10258,2023-06-11 12:00:00,SNKVM,226
6475,10258,2023-06-11 12:00:00,MGBRY,1187
6476,10262,2023-06-11 12:00:00,FRDST,958
6476,10262,2023-06-11 12:00:00,SNKVM,979
6476,10262,2023-06-11 12:00:00,MGBRY,637
6477,10263,2023-06-11 12:00:00,FRDST,663
6477,10263,2023-06-11 12:00:00,SNKVM,705
6477,10263,2023-06-11 12:00:00,MGBRY,1051
6478,10264,2023-06-11 12:00:00,FRDST,131
6478,10264,2023-06-11 12:00:00,SNKVM,476
6478,10264,2023-06-11 12:00:00,MGBRY,59
6479,10265,2023-06-11 12:00:00,FRDST,224
6479,10265,2023-06-11 12:00:00,SNKVM,326
6479,10265,2023-06-11 12:00:00,MGBRY,467
6480,10267,2023-06-11 12:00:00,FRDST,778
6480,10267,2023-06-11 12:00:00,SNKVM,681
6480,10267,2023-06-11 12:00:00,MGBRY,328
6481,10268,2023-06-11 12:00:00,FRDST,809
6481,10268,2023-06-11 12:00:00,SNKVM,193
6481,10268,2023-06-11 12:00:00,MGBRY,1078
6482,10269,2023-06-11 12:00:00,FRDST,944
6482,10269,2023-06-11 12:00:00,SNKVM,774
6482,10269,2023-06-11 12:00:00,MGBRY,843
6483,10270,2023-06-11 12:00:00,FRDST,161
6483,10270,2023-06-11 12:00:00,SNKVM,1045
6483,10270,2023-06-11 12:00:00,MGBRY,414
6484,10271,2023-06-11 12:00:00,FRDST,651
6484,10271,2023-06-11 12:00:00,SNKVM,1067
6484,10271,2023-06-11 12:00:00,MGBRY,236
6485,10275,2023-06-11 12:00:00,FRDST,213
6485,10275,2023-06-11 12:00:00,SNKVM,487
6485,10275,2023-06-11 12:00:00,MGBRY,1160
6486,10277,2023-06-11 12:00:00,FRDST,269
6486,10277,2023-06-11 12:00:00,SNKVM,246
6486,10277,2023-06-11 12:00:00,MGBRY,694
6487,10280,2023-06-11 12:00:00,FRDST,336
6487,10280,2023-06-11 12:00:00,SNKVM,300
6487,10280,2023-06-11 12:00:00,MGBRY,703
6488,10281,2023-06-11 12:00:00,FRDST,973
6488,10281,2023-06-11 12:00:00,SNKVM,783
6488,10281,2023-06-11 12:00:00,MGBRY,785
6489,10282,2023-06-11 12:00:00,FRDST,375
6489,10282,2023-06-11 12:00:00,SNKVM,650
6489,10282,2023-06-11 12:00:00,MGBRY,372
6490,10283,2023-06-11 12:00:00,FRDST,116
6490,10283,2023-06-11 12:00:00,SNKVM,1102
6490,10283,2023-06-11 12:00:00,MGBRY,1036
6491,10286,2023-06-11 12:00:00,FRDST,317
6491,10286,2023-06-11 12:00:00,SNKVM,817
6491,10286,2023-06-11 12:00:00,MGBRY,976
6492,10290,2023-06-12 08:00:00,FRDST,599
6492,10290,2023-06-12 08:00:00,SNKVM,931
6492,10290,2023-06-12 08:00:00,MGBRY,859
6493,10294,2023-06-12 08:00:00,FRDST,163
6493,10294,2023-06-12 08:00:00,SNKVM,263
6493,10294,2023-06-12 08:00:00,MGBRY,156
6494,10297,2023-06-12 08:00:00,FRDST,243
6494,10297,2023-06-12 08:00:00,SNKVM,149
6494,10297,2023-06-12 08:00:00,MGBRY,243
6495,10298,2023-06-12 08:00:00,FRDST,373
6495,10298,2023-06-12 08:00:00,SNKVM,887
6495,10298,2023-06-12 08:00:00,MGBRY,402
6496,10299,2023-06-12 08:00:00,FRDST,922
6496,10299,2023-06-12 08:00:00,SNKVM,954
6496,10299,2023-06-12 08:00:00,MGBRY,989
6497,10300,2023-06-12 08:00:00,FRDST,788
6497,10300,2023-06-12 08:00:00,SNKVM,196
6497,10300,2023-06-12 08:00:00,MGBRY,519
6498,10301,2023-06-12 08:00:00,FRDST,624
6498,10301,2023-06-12 08:00:00,SNKVM,1123
6498,10301,2023-06-12 08:00:00,MGBRY,143
6499,10302,2023-06-12 08:00:00,FRDST,227
6499,10302,2023-06-12 08:00:00,SNKVM,845
6499,10302,2023-06-12 08:00:00,MGBRY,873
6500,10303,2023-06-12 08:00:00,FRDST,591
6500,10303,2023-06-12 08:00:00,SNKVM,723
6500,10303,2023-06-12 08:00:00,MGBRY,208
6501,10304,2023-06-12 08:00:00,FRDST,258
6501,10304,2023-06-12 08:00:00,SNKVM,129
6501,10304,2023-06-12 08:00:00,MGBRY,1157
6502,10305,2023-06-12 08:00:00,FRDST,237
6502,10305,2023-06-12 08:00:00,SNKVM,982
6502,10305,2023-06-12 08:00:00,MGBRY,234
6503,10306,2023-06-12 08:00:00,FRDST,814
6503,10306,2023-06-12 08:00:00,SNKVM,1166
6503,10306,2023-06-12 08:00:00,MGBRY,149
6504,10307,2023-06-12 08:00:00,FRDST,97
6504,10307,2023-06-12 08:00:00,SNKVM,704
6504,10307,2023-06-12 08:00:00,MGBRY,609
6505,10308,2023-06-12 08:00:00,FRDST,345
6505,10308,2023-06-12 08:00:00,SNKVM,1010
6505,10308,2023-06-12 08:00:00,MGBRY,419
6506,10309,2023-06-12 08:00:00,FRDST,277
6506,10309,2023-06-12 08:00:00,SNKVM,594
6506,10309,2023-06-12 08:00:00,MGBRY,135
6507,10310,2023-06-12 08:00:00,FRDST,1159
6507,10310,2023-06-12 08:00:00,SNKVM,1098
6507,10310,2023-06-12 08:00:00,MGBRY,1182
6508,10311,2023-06-12 08:00:00,FRDST,702
6508,10311,2023-06-12 08:00:00,SNKVM,106
6508,10311,2023-06-12 08:00:00,MGBRY,836
6509,10313,2023-06-12 08:00:00,FRDST,401
6509,10313,2023-06-12 08:00:00,SNKVM,485
6509,10313,2023-06-12 08:00:00,MGBRY,427
6510,10316,2023-06-12 08:00:00,FRDST,882
6510,10316,2023-06-12 08:00:00,SNKVM,1008
6510,10316,2023-06-12 08:00:00,MGBRY,1077
6511,10317,2023-06-12 08:00:00,FRDST,1104
6511,10317,2023-06-12 08:00:00,SNKVM,374
6511,10317,2023-06-12 08:00:00,MGBRY,344
6512,10318,2023-06-12 08:00:00,FRDST,81
6512,10318,2023-06-12 08:00:00,SNKVM,1017
6512,10318,2023-06-12 08:00:00,MGBRY,1115
6513,10319,2023-06-12 08:00:00,FRDST,1107
6513,10319,2023-06-12 08:00:00,SNKVM,306
6513,10319,2023-06-12 08:00:00,MGBRY,1135
6514,10320,2023-06-12 08:00:00,FRDST,813
6514,10320,2023-06-12 08:00:00,SNKVM,381
6514,10320,2023-06-12 08:00:00,MGBRY,58
