RESULTAT,SPECID,EXTID,ANALYSIS,VALUEPPM
2023-06-13 12:00:00,8O7gAz,10067,ID03-MB,215
2023-06-13 12:00:00,TWCVDN,10070,ID01-FD,820
2023-06-13 12:00:00,tLEIKn,10070,ID02-SV,875
2023-06-13 12:00:00,9cVWUK,10070,ID03-MB,762
2023-06-13 12:00:00,j3vGUh,10071,ID01-FD,572
2023-06-13 12:00:00,mM0jsV,10071,ID02-SV,363
2023-06-13 12:00:00,F3EsRW,10071,ID03-MB,1046
2023-06-13 12:00:00,93ZKgv,10078,ID01-FD,199
2023-06-13 12:00:00,faQuIk,10078,ID02-SV,309
2023-06-13 12:00:00,G0K19h,10078,ID03-MB,305
2023-06-13 12:00:00,5IrfKb,10080,ID01-FD,967
2023-06-13 12:00:00,1FKc5t,10080,ID02-SV,326
2023-06-13 12:00:00,1CHXt6,10080,ID03-MB,369
2023-06-13 12:00:00,raFXQ5,10082,ID01-FD,170
2023-06-13 12:00:00,Yo8KvW,10082,ID02-SV,741
2023-06-13 12:00:00,9CiZKs,10082,ID03-MB,325
2023-06-13 12:00:00,HpKok7,10084,ID01-FD,322
2023-06-13 12:00:00,tgdLfD,10084,ID02-SV,263
2023-06-13 12:00:00,eViXWl,10084,ID03-MB,603
2023-06-13 12:00:00,dejRXG,10086,ID01-FD,1159
2023-06-13 12:00:00,bXqONd,10086,ID02-SV,286
2023-06-13 12:00:00,g7dfDA,10086,ID03-MB,451
2023-06-13 12:00:00,yuCLWm,10088,ID01-FD,588
2023-06-13 12:00:00,jRYc4S,10088,ID02-SV,591
2023-06-13 12:00:00,IYokpf,10088,ID03-MB,120
2023-06-13 12:00:00,LrdD0C,10092,ID01-FD,78
2023-06-13 12:00:00,bof2j4,10092,ID02-SV,443
2023-06-13 12:00:00,us4HzF,10092,ID03-MB,696
2023-06-13 12:00:00,fa5ASo,10094,ID01-FD,489
2023-06-13 12:00:00,5iAVSw,10094,ID02-SV,90
2023-06-13 12:00:00,2U9Ois,10094,ID03-MB,630
2023-06-13 12:00:00,zMXys7,10097,ID01-FD,389
2023-06-13 12:00:00,I6iykg,10097,ID02-SV,267
2023-06-13 12:00:00,fSAw7m,10097,ID03-MB,1178
2023-06-13 12:00:00,0Xrgxy,10102,ID01-FD,933
2023-06-13 12:00:00,4BbKlV,10102,ID02-SV,1000
2023-06-13 12:00:00,CdbhHv,10102,ID03-MB,876
2023-06-13 12:00:00,Fojsh9,10104,ID01-FD,642
2023-06-13 12:00:00,EimkRu,10104,ID02-SV,550
2023-06-13 12:00:00,GSWAZN,10104,ID03-MB,995
2023-06-13 12:00:00,ONzljL,10105,ID01-FD,756
2023-06-13 12:00:00,SCvmYT,10105,ID02-SV,591
2023-06-13 12:00:00,MDqCH7,10105,ID03-MB,1122
2023-06-13 12:00:00,O0tJNB,10106,ID01-FD,513
2023-06-13 12:00:00,nZOf5T,10106,ID02-SV,76
2023-06-13 12:00:00,M5RVQj,10106,ID03-MB,1028
2023-06-13 12:00:00,05dKxv,10108,ID01-FD,1108
2023-06-13 12:00:00,mDwvN1,10108,ID02-SV,209
2023-06-13 12:00:00,ErMHAP,10108,ID03-MB,617
2023-06-13 12:00:00,62eZRI,10114,ID01-FD,243
2023-06-13 12:00:00,6vCrph,10114,ID02-SV,117
2023-06-13 12:00:00,moO5UN,10114,ID03-MB,613
2023-06-13 12:00:00,UZHVus,10115,ID01-FD,759
2023-06-13 12:00:00,pRJ1fH,10115,ID02-SV,421
2023-06-13 12:00:00,Y3g26o,10115,ID03-MB,957
2023-06-13 12:00:00,YRmnSJ,10116,ID01-FD,1109
2023-06-13 12:00:00,Ck6JOA,10116,ID02-SV,55
2023-06-13 12:00:00,xqTOyz,10116,ID03-MB,1195
2023-06-13 12:00:00,ZIyhvM,10118,ID01-FD,787
2023-06-13 12:00:00,FV1bh0,10118,ID02-SV,261
2023-06-13 12:00:00,qBdsPl,10118,ID03-MB,70
2023-06-13 12:00:00,P64kqr,10120,ID01-FD,445
2023-06-13 12:00:00,DJflwS,10120,ID02-SV,1120
2023-06-13 12:00:00,fyFHOE,10120,ID03-MB,616
2023-06-13 12:00:00,I2Ad4J,10122,ID01-FD,1113
2023-06-13 12:00:00,1KSJIO,10122,ID02-SV,455
2023-06-13 12:00:00,Gt2zfu,10122,ID03-MB,593
2023-06-13 12:00:00,VRoa0s,10126,ID01-FD,515
2023-06-13 12:00:00,z5sc7v,10126,ID02-SV,1084
2023-06-13 12:00:00,aNFPYz,10126,ID03-MB,658
2023-06-13 12:00:00,AN2E97,10128,ID01-FD,736
2023-06-13 12:00:00,7lsnCw,10128,ID02-SV,525
2023-06-13 12:00:00,QyDA9P,10128,ID03-MB,220
2023-06-13 12:00:00,OkCvSG,10129,ID01-FD,154
2023-06-13 12:00:00,nMs1DS,10129,ID02-SV,992
2023-06-13 12:00:00,8zg1n4,10129,ID03-MB,1187
2023-06-13 12:00:00,2l45qV,10130,ID01-FD,1091
2023-06-13 12:00:00,7aj0py,10130,ID02-SV,146
2023-06-13 12:00:00,aq2XAb,10130,ID03-MB,855
2023-06-13 12:00:00,fnQSj0,10131,ID01-FD,558
2023-06-13 12:00:00,cUJTiB,10131,ID02-SV,586
2023-06-13 12:00:00,UV9PnD,10131,ID03-MB,390
2023-06-13 12:00:00,qmBX3S,10136,ID01-FD,1148
2023-06-13 12:00:00,12s6dT,10136,ID02-SV,213
2023-06-13 12:00:00,ytcXNQ,10136,ID03-MB,999
2023-06-13 12:00:00,MmCGpJ,10139,ID01-FD,108
2023-06-13 12:00:00,rcIzdu,10139,ID02-SV,309
2023-06-13 12:00:00,jEwRCg,10139,ID03-MB,1146
2023-06-13 12:00:00,b157XH,10141,ID01-FD,844
2023-06-13 12:00:00,vVJeMS,10141,ID02-SV,252
2023-06-13 12:00:00,1Sbzo2,10141,ID03-MB,1025
2023-06-13 12:00:00,sAQIXr,10142,ID01-FD,1038
2023-06-13 12:00:00,rhYWBL,10142,ID02-SV,183
2023-06-13 12:00:00,gO6FAD,10142,ID03-MB,1046
2023-06-13 12:00:00,ykWcRw,10143,ID01-FD,1102
2023-06-13 12:00:00,NsfQEm,10143,ID02-SV,1163
2023-06-13 12:00:00,LGk3rs,10143,ID03-MB,600
2023-06-12 11:00:00,tlXJF3,10144,ID01-FD,98
2023-06-12 11:00:00,wWMY1F,10144,ID02-SV,460
2023-06-12 11:00:00,LWDRyg,10144,ID03-MB,1034
2023-06-12 11:00:00,OJcTlN,10145,ID01-FD,229
2023-06-12 11:00:00,rnPkVQ,10145,ID02-SV,778
2023-06-12 11:00:00,CseYmK,10145,ID03-MB,421
2023-06-12 11:00:00,kMvOZn,10146,ID01-FD,834
2023-06-12 11:00:00,MwV8mn,10146,ID02-SV,724
2023-06-12 11:00:00,6OzMFC,10146,ID03-MB,1024
2023-06-12 11:00:00,F6P4uQ,10147,ID01-FD,256
2023-06-12 11:00:00,IUuYvq,10147,ID02-SV,823
2023-06-12 11:00:00,qc7QB4,10147,ID03-MB,471
2023-06-12 11:00:00,bO0Zy1,10148,ID01-FD,1050
2023-06-12 11:00:00,wi3gxL,10148,ID02-SV,632
2023-06-12 11:00:00,IMUVSd,10148,ID03-MB,233
2023-06-12 11:00:00,cbYmiu,10149,ID01-FD,535
2023-06-12 11:00:00,mtDPCp,10149,ID02-SV,566
2023-06-12 11:00:00,CMkRHx,10149,ID03-MB,120
2023-06-12 11:00:00,PmdVnl,10150,ID01-FD,428
2023-06-12 11:00:00,jX5LUx,10150,ID02-SV,1035
2023-06-12 11:00:00,5HwbZh,10150,ID03-MB,952
2023-06-12 11:00:00,iWfHhT,10155,ID01-FD,154
2023-06-12 11:00:00,ig6GBz,10155,ID02-SV,888
2023-06-12 11:00:00,4xJpF9,10155,ID03-MB,1080
2023-06-12 11:00:00,VRFtGj,10157,ID01-FD,516
2023-06-12 11:00:00,dLB2A6,10157,ID02-SV,1037
2023-06-12 11:00:00,6I17aB,10157,ID03-MB,99
2023-06-12 11:00:00,C9W2kH,10158,ID01-FD,534
2023-06-12 11:00:00,T4LKy5,10158,ID02-SV,735
2023-06-12 11:00:00,TEDIUF,10158,ID03-MB,1031
2023-06-12 11:00:00,5KPGEY,10162,ID01-FD,825
2023-06-12 11:00:00,OF9Pxa,10162,ID02-SV,552
2023-06-12 11:00:00,xC54o6,10162,ID03-MB,1057
2023-06-12 11:00:00,LpYGNH,10164,ID01-FD,795
2023-06-12 11:00:00,8YaAyD,10164,ID02-SV,520
2023-06-12 11:00:00,jnf91I,10164,ID03-MB,233
2023-06-12 11:00:00,YTGJrq,10165,ID01-FD,1197
2023-06-12 11:00:00,JrHaob,10165,ID02-SV,634
2023-06-12 11:00:00,EmXCqa,10165,ID03-MB,804
2023-06-12 11:00:00,OMUA6y,10168,ID01-FD,632
2023-06-12 11:00:00,LfXESJ,10168,ID02-SV,859
2023-06-12 11:00:00,PhvQ1n,10168,ID03-MB,760
2023-06-12 11:00:00,DEJP6r,10169,ID01-FD,1143
2023-06-12 11:00:00,Fxn9Zo,10169,ID02-SV,703
2023-06-12 11:00:00,LiGsV2,10169,ID03-MB,1016
2023-06-12 11:00:00,EV7ixj,10170,ID01-FD,532
2023-06-12 11:00:00,6x0qRw,10170,ID02-SV,723
2023-06-12 11:00:00,OeKu2l,10170,ID03-MB,539
2023-06-12 11:00:00,DPqnVj,10174,ID01-FD,482
2023-06-12 11:00:00,8N7LZa,10174,ID02-SV,561
2023-06-12 11:00:00,P15mch,10174,ID03-MB,1159
2023-06-12 11:00:00,TU5aX6,10175,ID01-FD,75
2023-06-12 11:00:00,P4MTwX,10175,ID02-SV,130
2023-06-12 11:00:00,6z1FSh,10175,ID03-MB,732
2023-06-12 11:00:00,S82otx,10176,ID01-FD,322
2023-06-12 11:00:00,TMGQ85,10176,ID02-SV,681
2023-06-12 11:00:00,fpQ5YI,10176,ID03-MB,152
2023-06-12 11:00:00,rxkcHi,10177,ID01-FD,1158
2023-06-12 11:00:00,DVFnrt,10177,ID02-SV,91
2023-06-12 11:00:00,DuyUO4,10177,ID03-MB,208
2023-06-12 11:00:00,L5YmA9,10181,ID01-FD,1077
2023-06-12 11:00:00,2JCPeh,10181,ID02-SV,1062
2023-06-12 11:00:00,V6GADJ,10181,ID03-MB,843
2023-06-12 11:00:00,j2yb3P,10182,ID01-FD,742
2023-06-12 11:00:00,SwnAsh,10182,ID02-SV,761
2023-06-12 11:00:00,yoD2mB,10182,ID03-MB,586
2023-06-12 11:00:00,DYdk6W,10184,ID01-FD,407
2023-06-12 11:00:00,zsDrgA,10184,ID02-SV,1095
2023-06-12 11:00:00,AcPfqm,10184,ID03-MB,502
2023-06-12 11:00:00,fOhvAU,10185,ID01-FD,1004
2023-06-12 11:00:00,wYJ7hs,10185,ID02-SV,186
2023-06-12 11:00:00,HsC3d8,10185,ID03-MB,481
2023-06-12 11:00:00,ivDE5B,10186,ID01-FD,177
2023-06-12 11:00:00,zgrKJb,10186,ID02-SV,374
2023-06-12 11:00:00,gyzVol,10186,ID03-MB,244
2023-06-12 11:00:00,2856gU,10190,ID01-FD,197
2023-06-12 11:00:00,KQgXcZ,10190,ID02-SV,586
2023-06-12 11:00:00,V5Mb2u,10190,ID03-MB,705
2023-06-12 11:00:00,1zogcH,10191,ID01-FD,1115
2023-06-12 11:00:00,LM6YRH,10191,ID02-SV,1133
2023-06-12 11:00:00,VyKzv1,10191,ID03-MB,771
2023-06-12 11:00:00,xwns6P,10192,ID01-FD,71
2023-06-12 11:00:00,HBbGIo,10192,ID02-SV,1195
2023-06-12 11:00:00,Xi6egN,10192,ID03-MB,664
2023-06-12 11:00:00,cCp3M5,10193,ID01-FD,399
2023-06-12 11:00:00,Gi2ZJS,10193,ID02-SV,761
2023-06-12 11:00:00,0Hl1F5,10193,ID03-MB,120
2023-06-12 11:00:00,VKs9zh,10197,ID01-FD,824
2023-06-12 11:00:00,SOnu3k,10197,ID02-SV,296
2023-06-12 11:00:00,gQt9UY,10197,ID03-MB,1143
2023-06-12 11:00:00,CMtnW6,10199,ID01-FD,493
2023-06-12 11:00:00,SkJmpd,10199,ID02-SV,640
2023-06-12 11:00:00,cvXwVe,10199,ID03-MB,1086
2023-06-12 11:00:00,ZD9oLI,10200,ID01-FD,680
2023-06-12 11:00:00,H6UYE9,10200,ID02-SV,885
2023-06-12 11:00:00,goMKlY,10200,ID03-MB,939
2023-06-12 11:00:00,aim9r3,10201,ID01-FD,431
2023-06-12 11:00:00,ZoC9u7,10201,ID02-SV,1124
2023-06-12 11:00:00,NqdOiI,10201,ID03-MB,706
2023-06-12 11:00:00,GSD5Wc,10203,ID01-FD,313
2023-06-12 11:00:00,XJKFE8,10203,ID02-SV,218
2023-06-12 11:00:00,NZ8idF,10203,ID03-MB,984
2023-06-12 11:00:00,7tTQYf,10207,ID01-FD,903
2023-06-12 11:00:00,fLzbZ7,10207,ID02-SV,804
2023-06-12 11:00:00,rg9SXl,10207,ID03-MB,378
2023-06-12 11:00:00,VbrFx4,10211,ID01-FD,960
2023-06-12 11:00:00,8tylGW,10211,ID02-SV,254
2023-06-12 11:00:00,16AOkn,10211,ID03-MB,361
2023-06-12 11:00:00,KaC4jH,10213,ID01-FD,497
2023-06-12 11:00:00,TIlq2i,10213,ID02-SV,535
2023-06-12 11:00:00,2z36RB,10213,ID03-MB,1181
2023-06-12 11:00:00,xNefCZ,10214,ID01-FD,1026
2023-06-12 11:00:00,ztwNxk,10214,ID02-SV,373
2023-06-12 11:00:00,dRvhOB,10214,ID03-MB,1191
2023-06-12 11:00:00,BM23Sn,10215,ID01-FD,1013
2023-06-12 11:00:00,C24y0l,10215,ID02-SV,320
2023-06-12 11:00:00,OReJLf,10215,ID03-MB,283
2023-06-12 11:00:00,16TizE,10216,ID01-FD,836
2023-06-12 11:00:00,HQ4A91,10216,ID02-SV,759
2023-06-12 11:00:00,iKktex,10216,ID03-MB,989
2023-06-12 11:00:00,MSvJkP,10219,ID01-FD,288
2023-06-12 11:00:00,edqUcb,10219,ID02-SV,268
2023-06-12 11:00:00,MaEjIA,10219,ID03-MB,1118
2023-06-12 11:00:00,lOoKMQ,10220,ID01-FD,263
2023-06-12 11:00:00,KC9bqx,10220,ID02-SV,638
2023-06-12 11:00:00,nhQDMg,10220,ID03-MB,538
2023-06-12 11:00:00,8bxeOP,10221,ID01-FD,536
2023-06-12 11:00:00,fnWF17,10221,ID02-SV,573
2023-06-12 11:00:00,FCj6km,10221,ID03-MB,681
2023-06-12 11:00:00,Q9v81u,10222,ID01-FD,913
2023-06-12 11:00:00,CEhGFj,10222,ID02-SV,806
2023-06-12 11:00:00,OT0aCm,10222,ID03-MB,131
2023-06-12 11:00:00,34P2Oi,10223,ID01-FD,489
2023-06-12 11:00:00,WORjIy,10223,ID02-SV,452
2023-06-12 11:00:00,fi86Cn,10223,ID03-MB,635
2023-06-12 11:00:00,tewMT9,10225,ID01-FD,1054
2023-06-12 11:00:00,fQkwzI,10225,ID02-SV,419
2023-06-12 11:00:00,qYNM07,10225,ID03-MB,495
2023-06-12 11:00:00,0XkGg5,10226,ID01-FD,724
2023-06-12 11:00:00,N7YiMb,10226,ID02-SV,685
2023-06-12 11:00:00,mdfr7l,10226,ID03-MB,746
2023-06-12 11:00:00,AH6bwe,10227,ID01-FD,375
2023-06-12 11:00:00,Pq0FgD,10227,ID02-SV,202
2023-06-12 11:00:00,uKjyh5,10227,ID03-MB,856
2023-06-12 11:00:00,baWdxy,10229,ID01-FD,312
2023-06-12 11:00:00,DoiZVG,10229,ID02-SV,149
2023-06-12 11:00:00,25ADoF,10229,ID03-MB,521
2023-06-12 11:00:00,i1BoRs,10235,ID01-FD,139
2023-06-12 11:00:00,V6pje8,10235,ID02-SV,437
2023-06-12 11:00:00,Clt95T,10235,ID03-MB,973
2023-06-12 11:00:00,QuwlyU,10238,ID01-FD,132
2023-06-12 11:00:00,6zKIvM,10238,ID02-SV,1194
2023-06-12 11:00:00,8W6OG7,10238,ID03-MB,894
2023-06-12 11:00:00,pQIrfH,10241,ID01-FD,1153
2023-06-12 11:00:00,L9JdDI,10241,ID02-SV,278
2023-06-12 11:00:00,U4fgpQ,10241,ID03-MB,1055
2023-06-12 11:00:00,zN9S5u,10242,ID01-FD,323
2023-06-12 11:00:00,a8o1ZD,10242,ID02-SV,238
2023-06-12 11:00:00,Ayd0lx,10242,ID03-MB,1017
2023-06-12 11:00:00,9aDghp,10243,ID01-FD,102
2023-06-12 11:00:00,ETb6Jx,10243,ID02-SV,560
2023-06-12 11:00:00,cofUGd,10243,ID03-MB,673
2023-06-12 11:00:00,zaZnHg,10245,ID01-FD,562
2023-06-12 11:00:00,sAn6fT,10245,ID02-SV,775
2023-06-12 11:00:00,kPnOUH,10245,ID03-MB,944
2023-06-12 11:00:00,bP1o94,10247,ID01-FD,507
2023-06-12 11:00:00,jCiLoe,10247,ID02-SV,243
2023-06-12 11:00:00,M0QqID,10247,ID03-MB,644
2023-06-12 11:00:00,jNTGLF,10248,ID01-FD,1138
2023-06-12 11:00:00,zyp6D2,10248,ID02-SV,757
2023-06-12 11:00:00,3JKZRS,10248,ID03-MB,332
2023-06-12 11:00:00,wJtVWU,10250,ID01-FD,520
2023-06-12 11:00:00,V7Ex2M,10250,ID02-SV,995
2023-06-12 11:00:00,IuBxTA,10250,ID03-MB,1155
2023-06-12 11:00:00,3L4ZIh,10251,ID01-FD,811
2023-06-12 11:00:00,a45fOx,10251,ID02-SV,171
2023-06-12 11:00:00,oatZfN,10251,ID03-MB,886
2023-06-12 11:00:00,Xj1SWg,10252,ID01-FD,1105
2023-06-12 11:00:00,2AIL8Q,10252,ID02-SV,249
2023-06-12 11:00:00,Ib6L9x,10252,ID03-MB,1142
2023-06-12 11:00:00,7UjBVF,10254,ID01-FD,889
2023-06-12 11:00:00,BLAi2M,10254,ID02-SV,260
2023-06-12 11:00:00,zidkXq,10254,ID03-MB,1105
2023-06-12 11:00:00,eA1nBD,10256,ID01-FD,547
2023-06-12 11:00:00,YinhGf,10256,ID02-SV,275
2023-06-12 11:00:00,ZSMRbG,10256,ID03-MB,750
2023-06-12 11:00:00,aEX3Hq,10257,ID01-FD,99
2023-06-12 11:00:00,NAqHd2,10257,ID02-SV,1169
2023-06-12 11:00:00,UdP03l,10257,ID03-MB,961
2023-06-12 11:00:00,1LTCpN,10259,ID01-FD,606
2023-06-12 11:00:00,1nIlkh,10259,ID02-SV,329
2023-06-12 11:00:00,jtH4dy,10259,ID03-MB,208
2023-06-12 11:00:00,m8iJ1Y,10260,ID01-FD,1082
2023-06-12 11:00:00,p8wVnK,10260,ID02-SV,729
2023-06-12 11:00:00,ibRt5P,10260,ID03-MB,714
2023-06-12 11:00:00,rPItDz,10261,ID01-FD,569
2023-06-12 11:00:00,5FxElX,10261,ID02-SV,796
2023-06-12 11:00:00,1eTBwQ,10261,ID03-MB,53
2023-06-12 11:00:00,01cm6R,10266,ID01-FD,1051
2023-06-12 11:00:00,yGCzkd,10266,ID02-SV,1069
2023-06-12 11:00:00,ID7e9j,10266,ID03-MB,503
2023-06-12 11:00:00,C3KVtZ,10272,ID01-FD,679
2023-06-12 11:00:00,TacDnp,10272,ID02-SV,523
2023-06-12 11:00:00,VGuSTJ,10272,ID03-MB,186
2023-06-12 11:00:00,rThFRQ,10273,ID01-FD,270
2023-06-12 11:00:00,ljZAVg,10273,ID02-SV,1120
2023-06-12 11:00:00,7fn20N,10273,ID03-MB,623
2023-06-12 11:00:00,a5UYkM,10274,ID01-FD,896
2023-06-12 11:00:00,bOBVtr,10274,ID02-SV,759
2023-06-12 11:00:00,lQYhpF,10274,ID03-MB,935
2023-06-12 11:00:00,SsblpO,10276,ID01-FD,456
2023-06-12 11:00:00,krCyJ7,10276,ID02-SV,121
2023-06-12 11:00:00,UdVk7E,10276,ID03-MB,964
2023-06-12 11:00:00,Opdyr8,10278,ID01-FD,1191
2023-06-12 11:00:00,KXyI6f,10278,ID02-SV,781
2023-06-12 11:00:00,X3PG1q,10278,ID03-MB,801
2023-06-12 11:00:00,ATS8md,10279,ID01-FD,927
2023-06-12 11:00:00,OjEwK7,10279,ID02-SV,828
2023-06-12 11:00:00,lzOoH8,10279,ID03-MB,1177
2023-06-12 11:00:00,JNQU7G,10284,ID01-FD,1074
2023-06-12 11:00:00,vu0CO7,10284,ID02-SV,608
2023-06-12 11:00:00,XZmtxb,10284,ID03-MB,150
2023-06-12 11:00:00,BZTecN,10285,ID01-FD,677
2023-06-12 11:00:00,KvC3cL,10285,ID02-SV,1048
2023-06-12 11:00:00,9jGvJL,10285,ID03-MB,530
2023-06-12 11:00:00,4S7ANe,10287,ID01-FD,1020
2023-06-12 11:00:00,c1uPF4,10287,ID02-SV,829
2023-06-12 11:00:00,T6Dond,10287,ID03-MB,399
2023-06-16 18:00:00,DM3v67,10288,ID01-FD,1173
2023-06-16 18:00:00,DbTrRe,10288,ID02-SV,890
2023-06-16 18:00:00,drk6Y5,10288,ID03-MB,543
2023-06-16 18:00:00,M5J4X0,10289,ID01-FD,1003
2023-06-16 18:00:00,PZ0BEv,10289,ID02-SV,911
2023-06-16 18:00:00,BtT1w9,10289,ID03-MB,1164
2023-06-16 18:00:00,eWKOZ3,10291,ID01-FD,818
2023-06-16 18:00:00,D5rcs8,10291,ID02-SV,1153
2023-06-16 18:00:00,WyzOm8,10291,ID03-MB,822
2023-06-16 18:00:00,ylnbpG,10292,ID01-FD,265
2023-06-16 18:00:00,QmFWOA,10292,ID02-SV,194
2023-06-16 18:00:00,DqaksM,10292,ID03-MB,166
2023-06-16 18:00:00,Gea6l5,10293,ID01-FD,851
2023-06-16 18:00:00,MEPdex,10293,ID02-SV,220
2023-06-16 18:00:00,4CHoG1,10293,ID03-MB,699
2023-06-16 18:00:00,dBzTiD,10295,ID01-FD,130
2023-06-16 18:00:00,PMuzoe,10295,ID02-SV,755
2023-06-16 18:00:00,DoLlvf,10295,ID03-MB,823
2023-06-16 18:00:00,KZhDyd,10296,ID01-FD,415
2023-06-16 18:00:00,gnA9cJ,10296,ID02-SV,1056
